Index,Pitch Shift Amt,Max Mels,Path
0,-5,32.550102,[0 -5]-2Mels-to-Mels_epoch5000_512_512_256.pt
1,-4,32.25072,[1 -4]-2Mels-to-Mels_epoch5000_512_512_256.pt
2,-3,32.205074,[2 -3]-2Mels-to-Mels_epoch5000_512_512_256.pt
3,-2,31.656128,[3 -2]-2Mels-to-Mels_epoch5000_512_512_256.pt
4,-1,31.714958,[4 -1]-2Mels-to-Mels_epoch5000_512_512_256.pt
5,0,18.21612,[5 0]-2Mels-to-Mels_epoch5000_512_512_256.pt
6,1,19.796812,[6 1]-2Mels-to-Mels_epoch5000_512_512_256.pt
7,2,21.5951,[7 2]-2Mels-to-Mels_epoch5000_512_512_256.pt
8,3,21.045912,[8 3]-2Mels-to-Mels_epoch5000_512_512_256.pt
9,4,19.812326,[9 4]-2Mels-to-Mels_epoch5000_512_512_256.pt
10,5,22.308287,[10 5]-2Mels-to-Mels_epoch5000_512_512_256.pt
